code,lat,lng
432232705000009,-31.408129545969437,-52.2535959314565
432270705000041,-29.711529599902523,-52.523951516405475
430470505000034,-28.315130450193923,-52.8029901316761
431490205000284,-30.043060335234404,-51.162435317293941
431490205002090,-30.016547529352955,-51.112869932363971
431490205002729,-30.039286246313491,-51.119823888838191
431490205002803,-30.05710385879232,-51.152354624785175
431515605000011,-29.269045512224363,-52.29589724633189
431830905000040,-30.336152203837287,-54.30780656332248
431870505000221,-29.734602530491049,-51.153108434038913
430470505000073,-28.28980986208061,-52.797484845790052
430450705000007,-31.387565651697166,-52.690360812755173
431440705130057,-31.701663928227848,-52.317604633596254
431405005000067,-29.629856331328266,-50.840502375298371
430040605100021,-29.79389726004602,-55.754910092616896
430510805100011,-29.168267341326313,-51.173878956780761
430510805220030,-29.16572413744403,-51.227564357771882
430460605000606,-29.910005940288261,-51.137044652736179
430237805000008,-27.542901094947286,-53.824381408539686
431490205000445,-30.073339647626959,-51.17332149407364
432130305000020,-29.811065550557366,-51.869140608786324
430350905000089,-30.848537588165964,-51.81958634687993
432230105000014,-27.770156708625564,-54.475376844176736
431033005000078,-29.914112690026545,-50.104322255415106
431320105000021,-29.364228642512202,-51.0858474604811
431340905000646,-29.652487554011977,-51.118095864529337
431490205002389,-30.16187354397093,-51.188627855806537
431936405000006,-27.811393680808632,-53.233046653961424
430060405020031,-29.991568824891832,-51.07774410220334
430420015000007,-29.628255775844362,-52.884124031730131
431490205001900,-29.9854650570288,-51.112501730500249
430390505000047,-29.655998745152623,-51.045551765498324
430700505000029,-27.629543337059371,-52.278591039878286
431330005000063,-28.750699690960598,-51.611716006952385
431960405000049,-30.171208038028162,-53.592796078909991
431175905000014,-29.59111629151915,-55.48292363522102
431560205360013,-32.129056085070147,-52.107174226116832
431680805000173,-29.703225765498765,-52.389596956337037
432300235000081,-30.081086185263061,-51.1090316959041
430087705000009,-29.643663265510753,-50.932013954261947
431010805000109,-29.569955468363418,-50.819197318365816
431449805000019,-27.183474746145357,-53.707688586215049
431710305000148,-30.896338502632556,-55.4922075325437
431490205000631,-30.049421588716896,-51.220581971125974
430600705000003,-27.4909831176606,-54.094058095649416
430310305000118,-29.902692836499781,-51.067162597925559
431440705150136,-31.754163374780028,-52.39192093767408
430550405000005,-28.349919363534433,-51.875626126955275
430350905000007,-30.847619227032002,-51.810780893933753
432070105000039,-29.447381935736619,-53.090165406306014
432140212000003,-27.303326141997989,-53.758481408499371
430435805000001,-31.560546336169541,-53.677844450001878
430460605000018,-29.912315927307649,-51.183720894311406
430640305000039,-29.585336373681727,-51.086776921844226
430222005000002,-28.539571985637018,-53.78933888457513
430466305000038,-31.7648193075197,-52.428631511542527
431920820000003,-28.095195831187645,-55.349168311885727
432240005000082,-29.769447589457691,-57.082222428863133
430367305000004,-28.719165176852226,-51.089076229103156
431100705000023,-32.566083114532404,-53.383803543094515
431370605000024,-27.885960978918177,-53.300150915440184
432000805000113,-29.827938423265373,-51.120491875808426
431306005000039,-29.58298163623142,-50.90303976095062
431490205000719,-30.073512878318933,-51.2222887388937
431490205000740,-30.082676002645147,-51.223889557425849
431540405000003,-27.665339223936144,-53.637392687445313
431690705070037,-29.676809066352575,-53.834323957892927
430510805100087,-29.161841276319091,-51.157510762349695
430915905000004,-29.302869068314333,-52.673268133613405
430466305000048,-31.767293973451615,-52.444072592731843
430240205000009,-29.603002961019588,-51.927895541459542
430460605000492,-29.933739942575741,-51.150950838487439
430060405020045,-29.994616501722305,-51.087937548735425
431860611000001,-27.735885014860592,-51.535625848422221
432300205000078,-30.055550758588868,-51.02343653285773
